iden_num,geo_type,name,order_name,amend,start_d,end_d,initial_emgcy,cont_emgcy,reopen,stay_home,curfew,mask_req,gather_ban,social_dist,bsns,restaurant,school,med_proc,travel,correc_fac,vaccine,notes
16000US0655156,City,"Palmdale, California",Community Renaissance Plan,0,04/30/2020,0,0,1,1,0,0,0,0,1,1,,1,0,0,0,0,
16000US0655156,County ,"Palmdale, California",Public Health Emergency Quarantine Order,0,02/01/2022,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,
16000US0655156,County ,"Palmdale, California",Public Health Emergency Isolation Order,0,02/01/2022,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,
16000US0655156,County ,"Palmdale, California",Public Health Emergency community care facilities order,0,12/27/2021,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,
16000US0655156,County ,"Palmdale, California",Public Health Emergency Skilled Nursing Facilities order,1,02/04/2022,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,
16000US0655156,County ,"Palmdale, California",EO 2022-02-25,0,02/25/2022,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,
16000US0655156,County ,"Palmdale, California",Public Health Order for post winter surge community monitoring and continued response measures,1,03/04/2022,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,
16000US0857630,City,"Parker, Colorado",EO-03-13-2020,0,03-13-2020,03-20-2020,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Emergeency declaration
16000US0857630,City,"Parker, Colorado",EO-06/27/2022,0,06/27/2022,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Order rescinding emergency declaration
16000US0857630,City,"Parker, Colorado",EO-03-20-2020,1,03-20-2020,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Order extending local emergency declaration
16000US0857630,City,"Parker, Colorado",EO 20-017,0,03/13/2020,03/20/2020,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,CONSENTING TO THE ORDER DECLARING A LOCAL DISASTER EMERGENCY
