iden_num,geo_type,name,order_name,amend,start_d,end_d,initial_emgcy,cont_emgcy,reopen,stay_home,curfew,mask_req,gather_ban,social_dist,bsns,restaurant,school,med_proc,travel,correc_fac,vaccine,notes
16000US4752006,City/County,"Nashville, Tennessee",1,1,09/28/2019,12/22/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,extends executive order 7 and 11 that was in effect on 09/28/2019
16000US4752006,City/County,"Nashville, Tennessee",2,1,10/14/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,terminates executive order no 11
16000US4752006,County,"Nashville, Tennessee",004A,0,03/10/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Extension of the State of Emergency
16000US4752006,County,"Nashville, Tennessee",004B,0,03/17/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Second Extension of the State of Emergency
16000US4752006,County,"Nashville, Tennessee",004G,0,04/21/2020,4/28/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Seventh Extension of the State of Emergency due to tornado
16000US4752006,City/County,"Nashville, Tennessee",004H,0,04/28/2020,5/5/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Extension of State of Emergency in Nashville/Davidson County metropolitan area in the wake of a tornado
16000US4752006,City/County,"Nashville, Tennessee",004I,0,05/05/2020,5/12/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Extension of State of Emergency in Nashville/Davidson County metropolitan area in the wake of a tornado
16000US4752006,City/County,"Nashville, Tennessee",6,0,03/18/2020,3/25/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Declaration of a state of civil emergency, mostly pertains to allowing local government to access funds"
16000US4752006,City/County,"Nashville, Tennessee",006A,0,03/25/2020,4/1/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,First extension of state of civil emergency related to COVID-19 Epidemic
16000US4752006,City/County,"Nashville, Tennessee",006B,0,04/01/2020,4/8/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Second extension of state of civil emergency in response to COVID-19 epidemic
16000US4752006,City/County,"Nashville, Tennessee",006C,0,04/08/2020,4/15/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Third extension of state of civil emergency in response to COVID-19 Epidemic
16000US4752006,City/County,"Nashville, Tennessee",006D,1,04/15/2020,4/22/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Fourth Extension of the State of Civil Emergency Related to the COVID-19 Epidemic
16000US4752006,City/County,"Nashville, Tennessee",006E,0,04/22/2020,4/29/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Fifth Extension of the State of Civil Emergency Related to the COVID-19 Epidemic
